Book Name,Author,Rating,Customers_Rated,Price
Some Things I Still Can't Tell You: Poems,Misha Collins,4.0 out of 5 stars,1,$13.49
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"19,736",$5.36
How to Catch a Mermaid,Adam Wallace,4.8 out of 5 stars,"22,720",$5.99
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"56,438",$11.50
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"56,680",$7.58
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9 out of 5 stars,"27,134",$4.59
Love You Forever,Robert Munsch,4.9 out of 5 stars,"41,293",$4.98
Crossroads: A Novel,Jonathan Franzen,3.8 out of 5 stars,27,$18.58
Creepy Pair of Underwear! (Creepy Tales),Aaron Reynolds,4.9 out of 5 stars,"2,739",$8.99
Verity,Colleen Hoover,4.6 out of 5 stars,"34,990",$14.99
Pete the Cat: Trick or Pete,James Dean,4.8 out of 5 stars,"3,274",$6.28
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"32,330",$16.54
The Boys: A Memoir of Hollywood and Family,Ron Howard,0,0,$20.49
The Love Hypothesis,Ali Hazelwood,4.7 out of 5 stars,"2,699",$12.89
Betrayal: The Final Act of the Trump Show,Jonathan Karl,0,0,$23.49
Super Extra Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 875 Characters,Scholastic,4.8 out of 5 stars,823,$11.11
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for…,Deborah Schecter,4.7 out of 5 stars,"22,262",$13.50
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts…",School Zone,4.7 out of 5 stars,"21,473",$2.67
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"7,808",$9.59
The Song of Achilles: A Novel,Madeline Miller,4.7 out of 5 stars,"28,488",$10.35
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"66,355",$8.89
101 Essays That Will Change The Way You Think,Brianna Wiest,4.8 out of 5 stars,"2,514",$15.99
The Christmas Pig,J. K. Rowling,0,0,$15.78
Rand McNally 2022 Large Scale Road Atlas,Rand McNally,4.7 out of 5 stars,"4,341",$13.29
1984,George Orwell,4.7 out of 5 stars,"53,295",$7.48
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8 out of 5 stars,"25,606",$6.99
On Tyranny Graphic Edition: Twenty Lessons from the Twentieth Century,Timothy Snyder,3.8 out of 5 stars,29,$14.49
Dog Man: Grime and Punishment: A Graphic Novel (Dog Man #9): From the Creator of Captain Underpants (9),Dav Pilkey,4.9 out of 5 stars,"38,210",$6.48
